단어,카테고리,등급,뜻풀이
비차익거래,경제,3,가격 차이가 있는 상품을 사서 파는 무위험 거래
비축,경제,3,만약의 경우를 대비하여 미리 모아 둠.
비커,과학,3,화학 실험을 할 때 사용하는 원통 모양의 유리그릇.
비타민,일상,2,몸 안에서 만들어지지는 않지만 동물의 성장에 꼭 필요한 영양소.
비트코인,경제,3,최초의 분산형 디지털 암호화폐
비행기,일상,1,사람이나 물건을 싣고 하늘을 날아다니는 교통수단.
비효율,경제,3,들인 노력에 비해 성과가 만족스럽지 못함.
빅맥지수,경제,3,맥도날드 빅맥 가격으로 구매력을 평가한 지수
빅베스,경제,4,기업이 부실 자산을 한꺼번에 털어내는 회계 처리
빌딩,일상,1,주로 사무실이 많이 있는 서양식 고층 건물.
빨간색,일상,1,잘 익은 사과나 고추와 같은 색.
사건의지평선,과학,4,블랙홀 근처에서 빛조차 빠져나올 수 없는 경계
사고,일상,1,예상하지 못하게 일어난 좋지 않은 일.
사과,일상,1,모양이 둥글고 붉으며 새콤하고 단맛이 나는 과일.
사교육비,경제,3,학교 교육에 드는 돈 이외에 과외를 하거나 학원 등을 다니는 데 드는 돈.
사기업,경제,3,개인의 모은 돈으로 운영하는 기업.
사람,일상,1,생각할 수 있으며 언어와 도구를 만들어 사용하고 사회를 이루어 사는 존재.
사례금,경제,3,고마운 뜻을 나타내려고 주는 돈.
사모펀드,경제,4,소수 투자자로부터 자금을 모아 운용하는 펀드
사무실,일상,1,직장에서 주로 서류 등을 처리하며 자신이 맡은 일을 하는 방.
사분오열,고사성어,4,여러 갈래로 찢기고 갈라져 흩어진 모습
사비,경제,3,개인이 사적으로 자신과 관련된 일에 지출하는 비용.
사사건건,고사성어,3,어떤 일이 일어날 때마다 시시콜콜 참견하는 모습
사상누각,고사성어,4,모래 위에 세운 누각처럼 기초가 약해 곧 무너진다
사실,일상,1,실제로 있었던 일이나 현재 일어나고 있는 일.
사실무근,고사성어,3,근거가 전혀 없는 거짓된 사실
사업,경제,1,경제적 이익을 얻기 위해 어떤 조직을 경영하는 일.
사업가,경제,2,전문적으로 사업을 하는 사람.
사업비,경제,2,일정한 사업을 하는 데 드는 비용.
사업소득,경제,2,사업을 통해 얻는 소득
사역,경제,3,다른 사람에게 일을 시킴. 또는 시킴을 받아 일을 함.
사외이사제,경제,3,기업 경영 감시를 위해 외부인을 이사로 선임하는 제도
사용권,경제,3,법률이나 계약에 의하여 다른 사람이 소유하고 있는 물건이나 권리 등을 사용할 수 있는 권리.
사용량,경제,2,쓰는 양.
사용료,경제,2,쓴 값으로 내는 요금.
사우나,일상,2,뜨거운 증기를 일으켜 그 열로 땀을 내는 목욕.
사유화,경제,3,개인의 소유가 됨. 또는 그렇게 되게 함.
사은품,경제,3,받은 은혜를 갚기 위해 선물하는 물품.
사이드카,경제,3,선물 시장 급변 시 주식 시장을 잠시 정지시키는 제도
사이렌,일상,2,큰 소리를 내어 위급한 상황임을 알리는 장치. 또는 그 소리.
사이즈,일상,1,옷이나 신발 등의 크기나 치수.
사익,경제,3,개인의 이익.
사장,일상,1,회사를 대표하고 회사의 일을 책임지는 사람.
사재,경제,3,개인이 가지고 있는 재산.
사전,일상,1,"낱말을 모아 일정한 차례에 따라 싣고, 그 발음, 뜻, 어원, 용법 등을 설명한 책."
사주,경제,3,회사의 주인.
사채,경제,3,금융 기관이 아니라 개인에게 돈을 빌려 진 빚.
사채업자,경제,3,개인이 개인에게 돈을 빌려주고 이자를 붙여 받는 일을 하는 사람.
사치,경제,3,필요 이상의 돈을 쓰거나 값비싼 물건을 사용하며 분수에 지나친 생활을 함.
사치품,경제,3,분수에 지나치는 값비싼 물품.
사탕,일상,1,엿이나 설탕을 졸여서 입에 넣기 좋은 크기로 만든 딱딱하고 단 과자.
사투리,일상,2,"일부 지방에서만 쓰는, 표준어가 아닌 말."
사표,일상,2,직장 등에서 맡고 있던 일 또는 직책을 그만두겠다는 뜻을 적어 내는 글.
사회간접자본,경제,3,도로
삭감,경제,3,깎아서 줄임.
삭제,일상,2,없애거나 지움.
산물,경제,3,일정한 곳에서 생산되어 나오는 물건.
산성화,과학,3,산성으로 바뀜. 또는 산성으로 바꿈.
산소통,과학,3,산소를 압축해서 담아 놓은 통.
산업,경제,2,"농업, 공업, 임업, 수산업, 광업, 서비스업 등과 같이 물품이나 서비스 등을 만들어 내는 일."
산업용,경제,3,산업 활동을 하는 데에 쓰이는 것.
산업체,경제,3,생산 활동을 하는 업체.
산업화,경제,3,산업과 기술이 발달하여 생산이 기계화되고 인구의 도시 집중과 같은 특징을 가진 사회로 됨.
산재보험,경제,3,업무 중 재해를 보상하는 보험
산정,경제,3,셈하여 수치를 정하거나 알아냄.
산책,일상,1,잠깐 쉬거나 건강을 위해 주변을 천천히 걷는 일.
산화제,과학,3,다른 물질을 산화시키고 자신은 환원되는 물질
살림,일상,2,한 가정을 이루어 살아가는 일.
살신성인,고사성어,3,나를 희생하여 옳은 일을 실천하려는 정신
삼겹살,일상,1,"비계와 살이 세 겹으로 되어 있는, 돼지의 가슴 부분 살."
삼고초려,고사성어,3,인재를 얻기 위해 세 번이나 찾아가는 정성
삼십육계,고사성어,3,불리할 때 일단 도망치는 것이 가장 좋은 방책
삼촌,일상,1,부모님의 남자 형제. 또는 그 사람을 부르는 말.
상가,경제,2,물건을 파는 가게가 모여 있는 거리.
상거래,경제,3,이익을 얻기 위해 상품을 팔고 사는 일.
상계,경제,3,채무와 채권을 같은 가치만큼 서로 없애는 것
상공업자,경제,3,상업이나 공업 분야에서 일하는 사람.
상권,경제,3,상업 활동이 이루어지거나 영향을 미치는 지역적 범위.
상금,경제,2,업적을 세우거나 우승을 하는 등의 일에 대하여 상으로 주는 돈.
상납,경제,3,권력이 있는 사람에게 돈이나 물건을 바침.
상대성이론,과학,4,아인슈타인이 정립한 시공간과 중력에 관한 이론
상등품,경제,3,품질이 아주 좋은 물건.
상류층,경제,3,사회적 지위나 생활 수준 등이 높은 계층.
상사,일상,2,자기보다 직장에서의 지위가 위인 사람.
상상력,일상,2,실제로 경험하지 않거나 보지 않은 것을 생각해 내는 능력.
상속권,경제,3,사람이 죽은 후에 그 사람의 재산을 넘겨받을 권리.
상속세,경제,3,죽은 사람의 재산을 넘겨받을 때 내는 세금.
상속인,경제,3,죽은 사람의 재산을 넘겨받는 사람.
상속자,경제,3,죽은 사람의 재산을 넘겨받는 사람.
상승세,경제,3,위로 올라가는 기세나 상태.
상업,경제,2,이익을 얻기 위한 목적으로 상품을 사고파는 경제 활동.
상여금,경제,2,정기 급여 외에 추가로 주는 성과급
상용,경제,3,일상적으로 씀.
상용화,경제,3,물품이나 기술 등이 일상적으로 쓰이게 됨. 또는 그렇게 만듦.
상인,경제,3,장사를 하는 사람.
상자,일상,1,물건을 넣어 둘 수 있도록 나무나 종이 등으로 만든 네모난 통.
상장,경제,3,주식을 사고팔기 위해 증권 거래소에 등록하는 일.
상장사,경제,3,주식이 증권 거래소에 등록되어 있는 회사.
상점,경제,2,물건을 파는 가게.
상처,일상,1,몸을 다쳐서 상한 자리.
상추,일상,1,"잎이 쭈글쭈글하고 넓은, 주로 쌈을 싸서 먹는 녹색 채소."
상표,경제,3,상품을 만든 회사를 나타내는 기호나 그림 등의 표시.
상표권,경제,3,특허청에 등록한 상표를 지정 상품에 독점적으로 사용할 수 있는 권리.
상한가,경제,3,"주식 시장에서, 개별 주식이 하루에 오를 수 있는 최고 가격."
상행위,경제,3,"돈을 벌 목적으로 하는 매매, 교환, 운수, 임대 등의 행위."
상호,경제,3,장사를 하는 가게나 기업의 이름.
상환,경제,3,빌린 돈이나 물건 등을 갚거나 돌려줌.
상환액,경제,3,갚거나 돌려주는 돈의 액수.
새내기,일상,2,학교나 직장 등에 새로 들어온 사람.
새벽,일상,1,해가 뜰 즈음.
색소폰,일상,1,입에 물고 불면서 손가락으로 마개를 눌러 소리의 높낮이를 조절하는 목관 악기.
샐러드,일상,1,"생야채나 과일에 마요네즈나 기름, 식초 등의 소스를 뿌린 음식."
샐러리맨,일상,2,주로 회사 등에서 일하며 일정한 봉급을 받아 사는 사람.
생각,일상,1,사람이 머리를 써서 판단하거나 인식하는 것.
생강,일상,2,"매운 맛과 향이 나서 양념이나 차의 재료, 한약재 등으로 쓰이는 울퉁불퉁하고 굵은 뿌리."
생계비,경제,3,살아가는 데 필요한 돈.
생년월일,일상,2,태어난 해와 달과 날.
생로병사,고사성어,3,인간이 태어나고 늙고 병들고 죽는 자연의 섭리
생물체,과학,3,동물이나 식물처럼 살아 있는 물체.
생방송,일상,2,"미리 녹음하거나 녹화하지 않고, 현장이나 스튜디오에서 제작과 방송이 동시에 이루어지는 방송."
생산,경제,2,사람이 생활하는 데 필요한 물건을 만듦.
생산량,경제,3,어떠한 것이 일정한 기간 동안 생산되는 수량.
생산물,경제,3,생산되는 물건.
생산비,경제,3,생산하는 데 드는 비용.
생산성,경제,3,생산하는 데 들어간 비용과 그에 따른 생산량의 비율.
생산액,경제,3,일정한 기간 동안에 만든 물건의 수량. 또는 그 물건을 값으로 계산한 액수.
생산자,경제,2,사람이 생활하는 데 필요한 물건을 만드는 사람.
생선,일상,1,먹기 위해서 물에서 잡아 올린 신선한 물고기.
생성물,과학,3,두 가지 이상의 물질이 화학 반응을 하여 새로 만들어지는 물질.
생신,일상,1,(높이는 말로) 사람이 세상에 태어난 날.
생애소득,경제,3,평생 동안 벌어들이는 전체 소득
생크림,일상,2,우유에서 지방 성분을 분리하여 만든 희고 부드러운 식품.
생화학,과학,3,생물체의 구조나 생명 현상 등을 화학적으로 연구하는 학문.
생활,일상,1,사람이나 동물이 일정한 곳에서 살아감.
생활비,경제,2,생활하는 데에 드는 돈.
샤부샤부,일상,1,"얇게 썬 고기와 채소, 해산물 등을 끓는 육수에 넣어 살짝 익혀서 먹는 요리."
샤워,일상,1,비처럼 물을 뿜어내는 기구로 몸을 씻음.
샤워기,일상,2,여러 개의 작은 구멍에서 비처럼 물을 뿜어내는 목욕용 기구.
샤프,일상,1,끝을 누르면 안에서 심이 조금씩 나와 글씨를 쓰는 데 사용하는 도구.
샴페인,일상,1,"프랑스의 샹파뉴 지방에서 만드는, 탄산가스가 들어 있고 상쾌한 맛이 나며 색깔이 없는 포도주."
샹들리에,일상,2,천장에 매다는 화려한 모양의 전등이나 촛대.
서민,경제,3,특별히 높은 신분을 가지지 않은 일반 사람.
서브프라임모기지사태,경제,3,미국 부동산 거품 붕괴로 발생한 세계적 금융위기
서비스,경제,1,"제품을 직접 만들어 내는 것이 아닌, 판매, 관광, 금융, 의료 등의 활동."
서점,일상,1,책을 파는 가게.
서커스,일상,2,"마술, 곡예, 동물의 묘기 등을 보여 주는 공연."
서킷브레이커,경제,4,주가 폭락 시 거래를 일시 중단하는 제도
석고대죄,고사성어,3,죄를 지은 사람이 멍석을 깔고 엎드려 벌을 구한다
석유,일상,2,"땅속에서 천연으로 나며 태워서 에너지를 만드는, 주로 자동차나 공장의 연료로 쓰는 검은색의 기름."
선금,경제,3,무엇을 사거나 빌릴 때 미리 내는 돈.
선물거래,경제,3,미래의 특정 가격으로 상품을 거래하는 것
선불,경제,3,일이 끝나기 전이나 물건을 받기 전에 미리 돈을 냄.
선생님,일상,1,(높이는 말로) 학생을 가르치는 사람.
선수,일상,1,운동 경기에서 대표로 뽑힌 사람. 또는 스포츠가 직업인 사람.
선인장,일상,2,"가시가 있으며 줄기가 두껍고 둥근, 주로 더운 지역에서 자라는 식물."
선장,일상,2,"배에 탄 선원들을 감독하고, 배의 항해와 사무를 책임지는 사람."
선진국,일상,2,"다른 나라보다 정치, 경제, 문화 등의 발달이 앞선 나라."
선택,경제,1,여럿 중에서 필요한 것을 골라 뽑음.
선풍기,일상,1,전기의 힘으로 바람을 일으켜 더위를 쫓는 기계.
설거지,일상,1,음식을 먹고 난 뒤에 그릇을 씻어서 정리함.
설계도,과학,3,"건축, 토목, 기계 등의 구조, 모양, 치수 등을 계획하여 그린 그림."
설명,일상,1,어떤 것을 남에게 알기 쉽게 풀어 말함. 또는 그런 말.
설문,일상,2,어떤 사실을 조사하기 위해서 여러 사람에게 질문함. 또는 그러한 질문.
설비,경제,3,필요한 물건이나 시설을 갖춤. 또는 그런 시설.
설왕설래,고사성어,3,서로 말을 주고받으며 의견이 왔다 갔다 한다
설탕,일상,1,물에 잘 녹으며 음식의 단맛을 내는 데 쓰는 하얀 가루.
성공,일상,1,원하거나 목적하는 것을 이룸.
성과급,경제,3,일을 해낸 정도에 따라 주는 임금.
성금,경제,3,좋은 일에 쓰라고 내는 돈.
성당,일상,2,가톨릭의 종교 의식이 행해지는 건물.
성동격서,고사성어,4,동쪽에서 소리를 지르고 실제로는 서쪽을 공격한다
성악가,일상,2,가곡이나 오페라 같은 음악을 전문적으로 부르는 사람.
성우,일상,2,방송이나 영화에 직접 출연하지 않고 등장인물의 목소리만 대신 내며 연기하는 배우.
성적,일상,1,일이나 경기 등의 결과로 얻은 실적.
성함,일상,1,(높임말로) 사람의 이름.
세계무역기구,경제,2,국제 무역 질서를 관리하는 기구
세공,과학,3,손으로 정밀하게 만듦. 또는 그런 공예.
세균,과학,2,독립적으로 생활하는 단세포 생물
